wl	n	k
1.058	2.857	1.22E-03
1.059	2.857	1.21E-03
1.06	2.856	1.20E-03
1.061	2.856	1.20E-03
1.062	2.855	1.19E-03
1.063	2.855	1.18E-03
1.064	2.855	1.17E-03
1.065	2.854	1.17E-03
1.066	2.854	1.16E-03
1.067	2.853	1.15E-03
1.068	2.853	1.15E-03
1.069	2.852	1.14E-03
1.07	2.852	1.14E-03
1.071	2.852	1.13E-03
1.072	2.851	1.12E-03
1.073	2.851	1.12E-03
1.074	2.85	1.11E-03
1.075	2.85	1.10E-03
1.076	2.849	1.10E-03
1.077	2.849	1.09E-03
1.078	2.849	1.08E-03
1.079	2.848	1.08E-03
1.08	2.848	1.07E-03
1.081	2.847	1.07E-03
1.082	2.847	1.06E-03
1.083	2.847	1.05E-03
1.084	2.846	1.05E-03
1.085	2.846	1.04E-03
1.086	2.845	1.04E-03
1.087	2.845	1.03E-03
1.088	2.845	1.02E-03
1.089	2.844	1.02E-03
1.09	2.844	1.01E-03
1.091	2.843	1.01E-03
1.092	2.843	1.00E-03
1.093	2.843	9.94E-04
1.094	2.842	9.89E-04
1.095	2.842	9.83E-04
1.096	2.841	9.77E-04
1.097	2.841	9.72E-04
1.098	2.841	9.66E-04
1.099	2.84	9.61E-04
1.1	2.84	9.55E-04
1.101	2.84	9.50E-04
1.102	2.839	9.44E-04
1.103	2.839	9.39E-04
1.104	2.838	9.34E-04
1.105	2.838	9.28E-04
1.106	2.838	9.23E-04
1.107	2.837	9.18E-04
1.108	2.837	9.13E-04
1.109	2.837	9.07E-04
1.11	2.836	9.02E-04
1.111	2.836	8.97E-04
1.112	2.835	8.92E-04
1.113	2.835	8.87E-04
1.114	2.835	8.82E-04
1.115	2.834	8.77E-04
1.116	2.834	8.72E-04
1.117	2.834	8.67E-04
1.118	2.833	8.62E-04
1.119	2.833	8.57E-04
1.12	2.833	8.52E-04
1.121	2.832	8.47E-04
1.122	2.832	8.42E-04
1.123	2.832	8.38E-04
1.124	2.831	8.33E-04
1.125	2.831	8.28E-04
1.126	2.83	8.23E-04
1.127	2.83	8.19E-04
1.128	2.83	8.14E-04
1.129	2.829	8.09E-04
1.13	2.829	8.05E-04
1.131	2.829	8.00E-04
1.132	2.828	7.96E-04
1.133	2.828	7.91E-04
1.134	2.828	7.86E-04
1.135	2.827	7.82E-04
1.136	2.827	7.78E-04
1.137	2.827	7.73E-04
1.138	2.826	7.69E-04
1.139	2.826	7.64E-04
1.14	2.826	7.60E-04
1.141	2.825	7.56E-04
1.142	2.825	7.51E-04
1.143	2.825	7.47E-04
1.144	2.824	7.43E-04
1.145	2.824	7.38E-04
1.146	2.824	7.34E-04
1.147	2.823	7.30E-04
1.148	2.823	7.26E-04
1.149	2.823	7.22E-04
1.15	2.822	7.17E-04
1.151	2.822	7.13E-04
1.152	2.822	7.09E-04
1.153	2.821	7.05E-04
1.154	2.821	7.01E-04
1.155	2.821	6.97E-04
1.156	2.82	6.93E-04
1.157	2.82	6.89E-04
1.158	2.82	6.85E-04
1.159	2.82	6.81E-04
1.16	2.819	6.77E-04
1.161	2.819	6.73E-04
1.162	2.819	6.70E-04
1.163	2.818	6.66E-04
1.164	2.818	6.62E-04
1.165	2.818	6.58E-04
1.166	2.817	6.54E-04
1.167	2.817	6.50E-04
1.168	2.817	6.47E-04
1.169	2.816	6.43E-04
1.17	2.816	6.39E-04
1.171	2.816	6.36E-04
1.172	2.816	6.32E-04
1.173	2.815	6.28E-04
1.174	2.815	6.25E-04
1.175	2.815	6.21E-04
1.176	2.814	6.17E-04
1.177	2.814	6.14E-04
1.178	2.814	6.10E-04
1.179	2.813	6.07E-04
1.18	2.813	6.03E-04
1.181	2.813	6.00E-04
1.182	2.813	5.96E-04
1.183	2.812	5.93E-04
1.184	2.812	5.89E-04
1.185	2.812	5.86E-04
1.186	2.811	5.82E-04
1.187	2.811	5.79E-04
1.188	2.811	5.76E-04
1.189	2.811	5.72E-04
1.19	2.81	5.69E-04
1.191	2.81	5.66E-04
1.192	2.81	5.62E-04
1.193	2.809	5.59E-04
1.194	2.809	5.56E-04
1.195	2.809	5.52E-04
1.196	2.809	5.49E-04
1.197	2.808	5.46E-04
1.198	2.808	5.43E-04
1.199	2.808	5.40E-04
1.2	2.807	5.36E-04
1.201	2.807	5.33E-04
1.202	2.807	5.30E-04
1.203	2.807	5.27E-04
1.204	2.806	5.24E-04
1.205	2.806	5.21E-04
1.206	2.806	5.18E-04
1.207	2.806	5.15E-04
1.208	2.805	5.12E-04
1.209	2.805	5.09E-04
1.21	2.805	5.06E-04
1.211	2.804	5.03E-04
1.212	2.804	5.00E-04
1.213	2.804	4.97E-04
1.214	2.804	4.94E-04
1.215	2.803	4.91E-04
1.216	2.803	4.88E-04
1.217	2.803	4.85E-04
1.218	2.803	4.82E-04
1.219	2.802	4.79E-04
1.22	2.802	4.76E-04
1.221	2.802	4.73E-04
1.222	2.802	4.71E-04
1.223	2.801	4.68E-04
1.224	2.801	4.65E-04
1.225	2.801	4.62E-04
